run_id,key,value,step,timestamp
circle loss,precision,0.8094170403585629,20,1751224485097
circle loss,precision,0.838785046728776,21,1751224638626
circle loss,precision,0.8390243902436978,22,1751224810483
circle loss,precision,0.8481675392667937,23,1751224998846
circle loss,precision,0.856777493605919,24,1751225162729
circle loss,precision,0.8888888888886695,25,1751225283866
circle loss,precision,0.8888888888886742,26,1751225403583
circle loss,precision,0.9015957446806113,27,1751225531523
circle loss,precision,0.9017632241811331,28,1751225660293
circle loss,precision,0.9142857142854769,29,1751225793130
circle loss,precision,0.9402597402594961,30,1751225925590
circle loss,precision,0.9397905759159844,31,1751226059561
circle loss,precision,0.9638888888886211,32,1751226187260
circle loss,precision,0.9397905759159844,33,1751226307837
circle loss,precision,0.9480874316937301,34,1751226422744
circle loss,precision,0.9662921348311893,35,1751226536500
circle loss,precision,0.9661016949149813,36,1751226653442
circle loss,precision,0.9715909090906331,37,1751226768417
circle loss,precision,0.983193277310649,38,1751226882324
circle loss,precision,0.9834710743798943,39,1751226997386
circle loss,precision,0.9809264305174439,40,1751227112625
circle loss,precision,0.9732937685457053,41,1751227229452
circle loss,precision,0.9942857142854302,42,1751227345097
circle loss,precision,0.9822485207097686,43,1751227466387
circle loss,precision,0.9942028985504365,44,1751227582272
circle loss,precision,0.9887323943659188,45,1751227694638
circle loss,precision,0.9942028985504365,46,1751227807758
circle loss,precision,0.9853372434014707,47,1751227921147
circle loss,precision,0.9999999999997025,48,1751228036468
circle loss,precision,0.9999999999997159,49,1751228155739
circle loss,precision,0.9918032786882537,50,1751228276238
circle loss,precision,0.9913294797684996,51,1751228389010
circle loss,precision,0.9971830985912684,52,1751228504666
circle loss,precision,0.9970845481046656,53,1751228631159
circle loss,precision,0.9941176470585312,54,1751228762896
circle loss,precision,0.999999999999711,55,1751228888615
circle loss,precision,0.9999999999997033,56,1751229015200
circle loss,precision,0.999999999999705,57,1751229154193
circle loss,precision,0.9999999999997151,58,1751229288940
circle loss,precision,0.9999999999997151,59,1751229413729
circle loss,Recall,0.9999999999997059,0,1751221844282
circle loss,Recall,0.9806094182822769,1,1751221974298
circle loss,Recall,0.9805013927573871,2,1751222107852
circle loss,Recall,0.9623188405794313,3,1751222242684
circle loss,Recall,0.9705882352938322,4,1751222375223
circle loss,Recall,0.9910979228483706,5,1751222502351
circle loss,Recall,0.9801136363633579,6,1751222631387
circle loss,Recall,0.9791666666663753,7,1751222760614
circle loss,Recall,0.9853801169587763,8,1751222928873
circle loss,Recall,0.9836512261577701,9,1751223059464
circle loss,Recall,0.9768115942026154,10,1751223185006
circle loss,Recall,0.977142857142578,11,1751223311861
circle loss,Recall,0.9943977591033629,12,1751223439217
circle loss,Recall,0.9832869080777206,13,1751223564528
circle loss,Recall,0.9859943977588275,14,1751223690017
circle loss,Recall,0.9911764705879438,15,1751223829960
circle loss,Recall,0.9942363112389065,16,1751223980413
circle loss,Recall,0.9971590909088076,17,1751224103015
circle loss,Recall,0.9999999999997222,18,1751224228293
circle loss,Recall,0.9999999999997191,19,1751224355128
circle loss,Recall,0.9944903581264478,20,1751224485097
circle loss,Recall,0.9972222222219452,21,1751224638626
circle loss,Recall,0.9999999999997093,22,1751224810483
circle loss,Recall,0.9908256880730916,23,1751224998846
circle loss,Recall,0.9999999999997016,24,1751225162729
circle loss,Recall,0.9972299168972307,25,1751225283866
circle loss,Recall,0.9945945945943259,26,1751225403583
circle loss,Recall,0.9941348973604123,27,1751225531523
circle loss,Recall,0.997214484679388,28,1751225660293
circle loss,Recall,0.9943502824855949,29,1751225793130
circle loss,Recall,0.9972451790630862,30,1751225925590
circle loss,Recall,0.9972222222219452,31,1751226059561
circle loss,Recall,0.9971264367813227,32,1751226187260
circle loss,Recall,0.9972222222219452,33,1751226307837
circle loss,Recall,0.9999999999997119,34,1751226422744
circle loss,Recall,0.9971014492750734,35,1751226536500
circle loss,Recall,0.9999999999997077,36,1751226653442
circle loss,Recall,0.9999999999997077,37,1751226768417
circle loss,Recall,0.9915254237285335,38,1751226882324
circle loss,Recall,0.9916666666663912,39,1751226997386
circle loss,Recall,0.9972299168972307,40,1751227112625
circle loss,Recall,0.9999999999996951,41,1751227229452
circle loss,Recall,0.9999999999997127,42,1751227345097
circle loss,Recall,0.9999999999996988,43,1751227466387
circle loss,Recall,0.9942028985504365,44,1751227582272
circle loss,Recall,0.9999999999997151,45,1751227694638
circle loss,Recall,0.9970930232555242,46,1751227807758
circle loss,Recall,0.9999999999997025,47,1751227921147
circle loss,Recall,0.997032640949259,48,1751228036468
